"Julianday","pH.A","Temp.A","Sal.A","Ox.A","pH.B","Temp.B","Sal.B","Ox.B","Temp.AF","Temp.BF"
117.384027777778,7.95,17.8,37.3,8.52,8.24,17.9,37.5,0,17.3,19
117.3875,7.96,17.8,37.3,8.52,8.23,17.9,37.5,0,17.3,19
117.390972222222,7.96,17.8,37.3,8.53,8.24,17.9,37.5,0,17.3,19.2
117.394444444444,7.96,17.8,37.3,8.53,8.23,17.9,37.5,0,17.3,19.2
117.397916666667,7.95,17.8,37.2,8.53,8.23,17.9,37.5,0,17.3,19
117.401388888889,7.96,17.8,37.2,8.52,8.23,17.9,37.6,0,17.3,19.2
117.404861111111,7.96,17.8,37.2,8.51,8.23,18,37.5,0,17.3,19.2
117.408333333333,7.96,17.8,37.2,8.51,8.24,17.9,37.5,0,17.5,19.2
117.411805555556,7.96,17.8,37.2,8.53,8.24,18,37.5,0,17.5,19.2
117.415277777778,7.96,17.8,37.2,8.52,8.24,18,37.5,0,17.5,19.2
117.41875,7.95,17.8,37.2,8.5,8.23,18,37.5,0,17.5,19.2
117.422222222222,7.96,17.8,37.2,8.51,8.23,18,37.4,0,17.5,19.2
117.425694444444,7.96,17.8,37.2,8.51,8.23,18,37.5,0,17.5,19.2
117.429166666667,7.96,17.8,37.2,8.5,8.23,18,37.5,0,17.5,19.2
117.432638888889,7.96,17.8,37.2,8.5,8.24,18,37.5,0,17.5,19.2
117.436111111111,7.96,17.8,37.2,8.5,8.24,18,37.6,0,17.5,19.2
117.439583333333,7.96,17.9,37.2,8.49,8.24,18,37.5,0,17.5,19.2
117.443055555556,7.96,17.9,37.2,8.47,8.23,18.1,37.4,0,17.5,19.2
117.446527777778,7.96,17.9,37.2,8.48,8.24,18,37.5,0,17.5,19.2
117.45,7.96,17.9,37.2,8.49,8.23,18.1,37.4,0,17.5,19.2
117.453472222222,7.96,17.9,37.3,8.49,8.23,18.1,37.6,0,17.5,19.2
117.456944444444,7.96,17.9,37.3,8.48,8.23,18.1,37.5,0,17.5,19.2
117.460416666667,7.95,17.9,37.3,8.46,8.23,18.1,37.5,0,17.5,19.2
117.463888888889,7.96,17.9,37.2,8.46,8.23,18.1,37.5,0,17.7,19.2
117.467361111111,7.96,17.9,37.3,8.47,8.23,18.1,37.5,0,17.7,19.2
117.470833333333,7.95,17.9,37.2,8.48,8.23,18.2,37.5,0,17.7,19.2
117.474305555556,7.96,17.9,37.2,8.48,8.23,18.2,37.5,0,17.7,19.2
117.477777777778,7.96,17.9,37.2,8.47,8.23,18.2,37.5,0,17.7,19.2
117.48125,7.95,17.9,37.2,8.46,8.23,18.2,37.5,0,17.7,19.2
117.484722222222,7.95,17.9,37.2,8.45,8.23,18.2,37.6,0,17.7,19.2
117.488194444444,7.95,17.9,37.2,8.45,8.24,18,37.5,0,17.7,19.2
117.491666666667,7.96,17.9,37.2,8.46,8.25,16.7,37.7,0,17.7,19.2
117.495138888889,7.96,17.9,37.2,8.46,8.25,16.5,37.7,0,17.5,19.2
117.498611111111,7.96,17.9,37.2,8.48,8.25,16.4,37.7,0,17.5,19.2
117.502083333333,7.96,18,37.2,8.47,8.25,16.3,37.7,0,17.5,19.2
117.505555555556,7.96,18,37.2,8.47,8.25,16.3,37.7,0,17.3,19.2
117.509027777778,7.96,18,37.2,8.46,8.25,16.2,37.8,0,17.3,19.2
117.5125,7.95,18,37.2,8.44,8.26,16.2,37.7,0,17.3,19.4
117.515972222222,7.95,18,37.2,8.43,8.25,16.2,37.7,0,17.1,19.4
117.519444444444,7.96,18,37.2,8.43,8.26,16.1,37.7,0,17.1,19.4
117.522916666667,7.96,18,37.2,8.45,8.25,16.1,37.7,0,17.1,19.4
117.526388888889,7.97,16.8,37.4,8.8,8.26,16.3,37.8,0,17.1,19.4
117.529861111111,7.98,16.3,37.5,8.81,8.25,16.3,37.7,0,16.9,19.2
117.533333333333,7.98,16.2,37.5,8.77,8.25,16.3,37.7,0,16.9,19.2
117.536805555556,7.98,16.2,37.5,8.76,8.25,16.4,37.7,0,16.9,19.2
117.540277777778,7.98,16.3,37.5,8.75,8.25,16.3,37.7,0,16.9,19
117.54375,7.97,16.3,37.5,8.77,8.25,16.3,37.7,0,16.7,19
117.547222222222,7.97,16.4,37.5,8.77,8.24,16.3,37.7,0,16.7,19
117.550694444444,7.97,16.4,37.5,8.77,8.25,16.3,37.6,0,16.7,19
117.554166666667,7.98,16.4,37.4,8.77,8.25,16.2,37.8,0,16.7,18.8
117.557638888889,7.97,16.3,37.5,8.77,8.24,16.2,37.7,0,16.7,18.8
117.561111111111,7.97,16.3,37.5,8.78,8.25,16.2,37.7,0,16.7,18.8
117.564583333333,7.97,16.3,37.5,8.79,8.25,16.2,37.6,0,16.7,18.8
117.568055555556,7.98,16.2,37.5,8.81,8.25,16.1,37.8,0,16.5,18.8
117.571527777778,7.98,16.2,37.5,8.83,8.25,16.1,37.7,0,16.5,18.6
117.575,7.98,16.2,37.5,8.82,8.25,16.1,37.7,0,16.5,18.6
117.578472222222,7.98,16.1,37.5,8.83,8.25,16.1,37.7,0,16.5,18.6
117.581944444444,7.98,16.1,37.5,8.89,8.25,16.1,37.7,0,16.5,18.6
